spec	Fold_0
nist_1102013	test
nist_1102031	train
nist_1102044	train
nist_1102050	train
nist_1102063	train
nist_1102068	train
nist_1102071	train
nist_1102083	train
nist_1102088	train
nist_1102123	train
nist_1102135	train
nist_1102139	train
nist_1102146	train
nist_1102159	train
nist_1102179	train
nist_1102193	train
nist_1102195	train
nist_1102208	train
nist_1102214	train
nist_1102220	train
nist_1102232	train
nist_1102246	train
nist_1102259	train
nist_1102271	train
nist_1102283	train
nist_1102286	train
nist_1102313	train
nist_1102332	train
nist_1102337	test
nist_1102344	test
nist_1102359	train
nist_1102372	train
nist_1102378	train
nist_1102393	train
nist_1102400	train
nist_1102408	train
nist_1102412	train
nist_1102420	train
nist_1102423	train
nist_1102452	train
nist_1127505	train
nist_1127542	train
nist_1127559	train
nist_1127579	train
nist_1127593	train
nist_1127614	train
nist_1127634	test
nist_1127654	train
nist_1127679	train
nist_1127691	train
nist_1127730	train
nist_1127748	train
nist_1127770	train
nist_1127803	train
nist_1127826	train
nist_1127841	train
nist_1127851	train
nist_1127910	train
nist_1127928	train
nist_1127953	train
nist_1127980	train
nist_1128046	train
nist_1128073	train
nist_1128107	train
nist_1128176	train
nist_1128197	train
nist_1128212	train
nist_1128230	train
nist_1128250	train
nist_1128262	train
nist_1128281	train
nist_1128300	train
nist_1128381	train
nist_1128401	train
nist_1128415	train
nist_1128490	train
nist_1128509	train
nist_1128525	train
nist_1128537	train
nist_1128561	train
nist_1128585	train
nist_1128638	train
nist_1128650	train
nist_1128663	train
nist_1128696	train
nist_1128713	train
nist_1128761	train
nist_1128780	test
nist_1128805	test
nist_1128845	train
nist_1128872	train
nist_1128891	train
nist_1128913	train
nist_1128931	test
nist_1128982	train
nist_1129041	test
nist_1129066	test
nist_1129084	train
nist_1129105	train
nist_1129114	val
nist_1129131	val
nist_1129147	train
nist_1129164	train
nist_1129177	train
nist_1129195	train
nist_1129213	train
nist_1129229	train
nist_1129238	train
nist_1129265	train
nist_1129282	train
nist_1129301	train
nist_1129318	val
nist_1129335	train
nist_1129343	train
nist_1129359	train
nist_1129377	train
nist_1129386	train
nist_1129414	train
nist_1129427	train
nist_1129446	val
nist_1129473	val
nist_1129481	val
nist_1129494	val
nist_1129508	train
nist_1129576	train
nist_1129593	train
nist_1129613	train
nist_1129624	train
nist_1129733	train
nist_1129752	train
nist_1129774	train
nist_1129790	train
nist_1129820	train
nist_1129863	train
nist_1129881	train
nist_1129905	train
nist_1129924	train
nist_1129977	train
nist_1130003	train
nist_1130136	train
nist_1130218	train
nist_1130296	val
nist_1130323	train
nist_1130345	train
nist_1130419	train
nist_1130434	train
nist_1130451	train
nist_1130471	train
nist_1130535	train
nist_1130552	train
nist_1130574	train
nist_1130648	train
nist_1130665	test
nist_1130693	test
nist_1130707	test
nist_1130720	train
nist_1130755	train
nist_1130791	test
nist_1130804	test
nist_1130871	test
nist_1130894	val
nist_1130941	val
nist_1130959	val
nist_1131005	train
nist_1131049	train
nist_1131070	train
nist_1131090	train
nist_1131138	train
nist_1131154	train
nist_1131193	train
nist_1131211	test
nist_1131248	test
nist_1131267	train
nist_1131287	train
nist_1131318	train
nist_1131337	train
nist_1131369	train
nist_1131392	train
nist_1131413	train
nist_1131501	train
nist_1131523	train
nist_1131608	train
nist_1131629	train
nist_1131650	train
nist_1131666	train
nist_1131686	train
nist_1131699	val
nist_1131723	val
nist_1131739	train
nist_1131779	train
nist_1131797	val
nist_1131820	train
nist_1131844	train
nist_1131861	train
nist_1131879	train
nist_1131900	train
nist_1131928	train
nist_1131948	train
nist_1131970	val
nist_1131997	val
nist_1132018	val
nist_1132032	val
nist_1132051	val
nist_1132069	train
nist_1132083	train
nist_1132101	train
nist_1132121	train
nist_1132141	train
nist_1132161	train
nist_1132185	train
nist_1132202	train
nist_1132222	train
nist_1132243	train
nist_1132263	train
nist_1132284	train
nist_1132299	train
nist_1132337	test
nist_1132383	test
nist_1132405	test
nist_1132422	test
nist_1132438	train
nist_1132461	train
nist_1132479	train
nist_1132495	train
nist_1132515	train
nist_1132531	train
nist_1132549	train
nist_1132562	train
nist_1132581	train
nist_1132602	train
nist_1132623	train
nist_1132659	train
nist_1132683	train
nist_1132698	train
nist_1132728	train
nist_1132749	train
nist_1132753	train
nist_1132777	train
nist_1132802	train
nist_1132815	train
nist_1132830	test
nist_1132851	train
nist_1132871	train
nist_1132880	train
nist_1132898	train
nist_1132909	train
nist_1132935	train
nist_1132959	train
nist_1132980	train
nist_1132997	train
nist_1133018	train
nist_1133036	train
nist_1133053	test
nist_1133076	test
nist_1133096	test
nist_1133111	train
nist_1133133	train
nist_1133155	train
nist_1133168	train
nist_1133183	train
nist_1133224	train
nist_1133229	train
nist_1133250	train
nist_1133297	train
nist_1133298	train
nist_1133318	train
nist_1133337	train
nist_1133361	train
nist_1133383	train
nist_1133405	train
nist_1133418	train
nist_1133434	train
nist_1133468	train
nist_1133487	train
nist_1133505	train
nist_1133523	train
nist_1133538	val
nist_1133560	val
nist_1133585	train
nist_1133604	train
nist_1133619	test
nist_1133642	train
nist_1133666	train
nist_1133686	train
nist_1133711	train
nist_1133738	train
nist_1133750	train
nist_1133766	train
nist_1133777	train
nist_1133814	train
nist_1133834	train
nist_1133851	train
nist_1133874	train
nist_1133895	train
nist_1133911	train
nist_1133935	train
nist_1133959	train
nist_1133969	train
nist_1133988	train
nist_1134011	train
nist_1134026	train
nist_1134039	train
nist_1134059	train
nist_1134075	train
nist_1134095	train
nist_1134121	train
nist_1134135	train
nist_1134160	train
nist_1134179	train
nist_1134199	train
nist_1134247	train
nist_1134267	train
nist_1134281	train
nist_1134298	train
nist_1134323	train
nist_1134338	train
nist_1134353	train
nist_1134376	train
nist_1134400	train
nist_1134422	train
nist_1134442	train
nist_1134459	test
nist_1134475	train
nist_1134486	train
nist_1134500	train
nist_1134516	train
nist_1134536	train
nist_1134560	train
nist_1134581	train
nist_1134595	train
nist_1134609	train
nist_1134631	train
nist_1134652	train
nist_1134660	train
nist_1134675	train
nist_1134696	train
nist_1134704	train
nist_1134718	train
nist_1134748	train
nist_1134763	train
nist_1134780	train
nist_1134807	train
nist_1134815	train
nist_1134831	train
nist_1134868	val
nist_1134875	val
nist_1134903	train
nist_1134912	train
nist_1134927	train
nist_1134943	train
nist_1134950	train
nist_1134982	train
nist_1134998	train
nist_1135010	train
nist_1135032	train
nist_1135048	train
nist_1135072	train
nist_1135082	train
nist_1135097	train
nist_1135117	test
nist_1135138	test
nist_1135151	train
nist_1135173	train
nist_1135193	train
nist_1135202	train
nist_1135223	train
nist_1135232	val
nist_1135253	val
nist_1135263	val
nist_1135278	val
nist_1135294	train
nist_1135355	test
nist_1135378	test
nist_1135386	test
nist_1135402	test
nist_1135420	train
nist_1135451	train
nist_1135468	train
nist_1135486	train
nist_1135506	train
nist_1135523	train
nist_1135539	train
nist_1135558	train
nist_1135576	train
nist_1135595	train
nist_1135609	train
nist_1135630	train
nist_1135644	train
nist_1135660	train
nist_1135680	train
nist_1135693	train
nist_1135710	train
nist_1135729	train
nist_1135747	train
nist_1135767	train
nist_1135782	train
nist_1135798	train
nist_1135821	train
nist_1135835	train
nist_1135850	train
nist_1135871	train
nist_1135887	val
nist_1135912	val
nist_1135928	train
nist_1135953	train
nist_1135969	train
nist_1135990	train
nist_1136006	train
nist_1136026	train
nist_1136046	train
nist_1136064	train
nist_1136071	train
nist_1136091	train
nist_1136107	test
nist_1136126	test
nist_1136145	val
nist_1136166	val
nist_1136186	train
nist_1136206	train
nist_1136223	test
nist_1136244	test
nist_1136259	test
nist_1136275	test
nist_1136296	test
nist_1136343	test
nist_1136362	test
nist_1136376	test
nist_1136391	train
nist_1136412	train
nist_1136426	train
nist_1136444	train
nist_1136465	train
nist_1136479	train
nist_1136497	test
nist_1136519	test
nist_1136535	test
nist_1136554	train
nist_1136576	train
nist_1136598	train
nist_1136622	train
nist_1136639	train
nist_1136657	train
nist_1136677	train
nist_1136690	train
nist_1136713	train
nist_1136736	train
nist_1136753	test
nist_1136775	test
nist_1136791	test
nist_1136807	train
nist_1136830	train
nist_1136843	train
nist_1136858	train
nist_1136879	train
nist_1136896	train
nist_1136916	train
nist_1136942	train
nist_1136951	train
nist_1136967	train
nist_1136987	train
nist_1137013	train
nist_1137026	train
nist_1137041	train
nist_1137064	train
nist_1137077	train
nist_1137094	val
nist_1137116	val
nist_1137126	train
nist_1137149	train
nist_1137168	test
nist_1137190	test
nist_1137212	test
nist_1137224	test
nist_1137238	train
